,OR1,OR2,distance,similarity,Class1,Class2,Same_Class
24032,Olfr1446,Olfr1499,4.863127868312348,0.469774861782503,5,9,NA
24033,Olfr1447,Olfr1499,10.929021125445965,0.46451385779962,5,9,NA
24034,Olfr1448,Olfr1499,5.1460312779310105,0.508674101610905,5,9,NA
24035,Olfr1450,Olfr1499,10.332401658191362,0.491463416829882,5,9,NA
24036,Olfr1454,Olfr1499,8.09883737658773,0.472190883312039,5,9,NA
24037,Olfr1458,Olfr1499,5.274329649485475,0.472340004074737,,9,NA
24038,Olfr1459,Olfr1499,11.771904058410199,0.48859809851877,5,9,NA
24039,Olfr1461,Olfr1499,8.271941205352777,0.498449035028102,5,9,NA
24040,Olfr1463,Olfr1499,7.094662574432886,0.479458003358857,5,9,NA
24041,Olfr1466,Olfr1499,3.8149713586768477,0.493141114928076,5,9,NA
24042,Olfr1467,Olfr1499,11.823955932754592,0.492213710054732,5,9,NA
24043,Olfr1469,Olfr1499,10.607528521647682,0.472935414009185,5,9,NA
24044,Olfr1471,Olfr1499,6.537741837767891,0.493784532001263,5,9,NA
24045,Olfr1472,Olfr1499,9.419187696284892,0.506528238114561,5,9,NA
24046,Olfr1474,Olfr1499,4.386749943096534,0.507319565324274,5,9,NA
24047,Olfr1477,Olfr1499,9.419187696284892,0.504860196747616,5,9,NA
24048,Olfr1480,Olfr1499,7.928025207275213,0.439688791081138,5,9,NA
24049,Olfr1484,Olfr1499,11.06340635309721,0.462338029143185,5,9,NA
24050,Olfr1487,Olfr1499,9.668152419584176,0.508000110342631,5,9,NA
24051,Olfr1489,Olfr1499,5.724073539509842,0.503324340805756,5,9,NA
24052,Olfr1490,Olfr1499,10.825082419526927,0.369780664030709,10,9,NA
24053,Olfr1491,Olfr1499,6.882690590304072,0.389022915426457,10,9,NA
24054,Olfr1493-ps1,Olfr1499,10.045155318203925,0.376469127790207,,9,NA
24055,Olfr1494,Olfr1499,6.882690590304072,0.402595714710656,10,9,NA
24056,Olfr1495,Olfr1499,6.384959086284141,0.3518734907473,10,9,NA
24057,Olfr1496,Olfr1499,9.657667774015481,0.395055020686066,1,9,NA
24058,Olfr1497,Olfr1499,4.750685044833539,0.589810181559163,9,9,9
24059,Olfr1444,Olfr1500,14.689393921386051,0.532855737583384,5,9,NA
24060,Olfr1446,Olfr1500,11.351322465273562,0.484464562088228,5,9,NA
24061,Olfr1447,Olfr1500,12.703212365560248,0.476558727018547,5,9,NA
24062,Olfr1448,Olfr1500,11.634697897553941,0.49674140016075,5,9,NA
24063,Olfr1450,Olfr1500,8.897272795622106,0.488905810104781,5,9,NA
