,ensembl_gene_id,accession number,id
252,ENSMUSG00000056946,Q7TRU5,Olfr512
253,ENSMUSG00000094496,Q7TRH9,Olfr792
254,ENSMUSG00000068431,A2RTP5,Olfr742
255,ENSMUSG00000069818,Q8VEZ7,Olfr390
256,ENSMUSG00000069818,A0A0U1RPX5,Olfr390
257,ENSMUSG00000070983,Q8VFN0,Olfr270
258,ENSMUSG00000070983,Q7TS19,Olfr270
259,ENSMUSG00000045479,Q924H8,Olfr459
260,ENSMUSG00000056863,A0A140LHK1,Olfr702
261,ENSMUSG00000056863,A0A140LJI4,Olfr702
262,ENSMUSG00000056863,Q920Z2,Olfr702
263,ENSMUSG00000094778,A0A1L1SSC2,Olfr143
264,ENSMUSG00000094778,F8VQN7,Olfr143
265,ENSMUSG00000058802,Q8VFE1,Olfr97
266,ENSMUSG00000048356,B9EHG2,Olfr1496
267,ENSMUSG00000048356,Q7TQQ4,Olfr1496
268,ENSMUSG00000093877,F6VB59,Olfr1348
269,ENSMUSG00000093877,A0A140LJG5,Olfr1348
270,ENSMUSG00000093877,A0A140LIG4,Olfr1348
271,ENSMUSG00000093877,A0A140LI03,Olfr1348
272,ENSMUSG00000093877,A0A140LIL8,Olfr1348
273,ENSMUSG00000093877,Q8VGH3,Olfr1348
274,ENSMUSG00000093877,A0A140LIK2,Olfr1348
275,ENSMUSG00000081945,A0A2I3BPQ9,Olfr607
276,ENSMUSG00000081945,A0A2I3BR67,Olfr607
277,ENSMUSG00000073965,E9Q554,Olfr568
278,ENSMUSG00000039608,Q8VFP0,Olfr303
279,ENSMUSG00000050813,A0A0N4SUS0,Olfr332
280,ENSMUSG00000050813,Q5NC45,Olfr332
281,ENSMUSG00000111567,Q7TQZ3,Olfr1251
282,ENSMUSG00000094063,Q8VH20,Olfr638
283,ENSMUSG00000094063,Q7TRQ2,Olfr638
284,ENSMUSG00000046210,A0A286YCU8,Olfr735
285,ENSMUSG00000046210,Q7TRM4,Olfr735
286,ENSMUSG00000093866,Q8VGJ2,Olfr802
287,ENSMUSG00000096554,Q7TQY5,Olfr1282
288,ENSMUSG00000045812,Q8VFN1,Olfr984
289,ENSMUSG00000095194,J3KMV2,Olfr936
290,ENSMUSG00000094192,Q7TRV8,Olfr452
291,ENSMUSG00000056853,Q7TRI6,Olfr765
292,ENSMUSG00000075091,Q8VGN0,Olfr1233
293,ENSMUSG00000043357,E9QNM5,Olfr187
294,ENSMUSG00000091531,B2RT33,Olfr102
295,ENSMUSG00000049217,Q8VFI0,Olfr788
296,ENSMUSG00000078624,E9PYB4,Olfr613
297,ENSMUSG00000046450,Q9QZ18,Olfr71
298,ENSMUSG00000111448,A0A1L1SSS5,Olfr912
299,ENSMUSG00000110008,A0A338P761,Olfr560
300,ENSMUSG00000110008,A0A1B0GSU5,Olfr560
301,ENSMUSG00000048173,Q7TQW2,Olfr1324
302,ENSMUSG00000048173,Q8VEU7,Olfr1324
303,ENSMUSG00000063660,Q8VFD9,Olfr98
304,ENSMUSG00000075209,A2ASV2,Olfr1016
305,ENSMUSG00000096273,Q7TQQ8,Olfr1474
306,ENSMUSG00000096273,A0A140LJA9,Olfr1474
307,ENSMUSG00000045528,E9Q843,Olfr891
308,ENSMUSG00000082980,A0A1L1SQ02,Olfr1274
309,ENSMUSG00000059279,M9MMJ7,Olfr224
310,ENSMUSG00000062782,Q7TRT9,Olfr527
311,ENSMUSG00000050198,Q8VGC4,Olfr768
312,ENSMUSG00000058114,Q8VF25,Olfr127
313,ENSMUSG00000090874,Q14AK5,Olfr733
314,ENSMUSG00000094539,L7N1Z8,Olfr191
315,ENSMUSG00000093884,A0PK55,Olfr239
316,ENSMUSG00000093884,A0A2I3BQR4,Olfr239
317,ENSMUSG00000058628,Q7TRE5,Olfr875
318,ENSMUSG00000075387,Q8VGK9,Olfr341
319,ENSMUSG00000058820,Q60884,Olfr146
320,ENSMUSG00000058820,A0A1L1SSX4,Olfr146
321,ENSMUSG00000058820,A0A1L1SV60,Olfr146
322,ENSMUSG00000042796,A2ATE5,Olfr1032
323,ENSMUSG00000091601,A0A140LHU3,Olfr93
324,ENSMUSG00000091601,Q6UAH1,Olfr93
325,ENSMUSG00000074965,Q8VF41,Olfr1277
326,ENSMUSG00000061616,Q60894,Olfr12
327,ENSMUSG00000075095,Q7TQZ9,Olfr1229
328,ENSMUSG00000075165,Q7TR58,Olfr1105
329,ENSMUSG00000095002,Q7TRH8,Olfr798
330,ENSMUSG00000045126,Q8VFW9,Olfr1445
331,ENSMUSG00000075155,Q7TR44,Olfr1133
332,ENSMUSG00000048919,Q8VF69,Olfr223
333,ENSMUSG00000099486,Q8VGM9,Olfr1228
334,ENSMUSG00000099486,Q7TR00,Olfr1228
335,ENSMUSG00000059867,Q9EQ85,Olfr960
336,ENSMUSG00000059867,Q8VET5,Olfr960
337,ENSMUSG00000044801,Q9QZ19,Olfr159
338,ENSMUSG00000109403,Q8VET0,Olfr1311
339,ENSMUSG00000066672,F8VQB1,Olfr417
340,ENSMUSG00000059106,Q9EQ84,Olfr961
341,ENSMUSG00000035626,A0A0U1RNG2,Olfr1509
342,ENSMUSG00000035626,Q7TQQ0,Olfr1509
343,ENSMUSG00000035626,A0A0U1RQ73,Olfr1509
344,ENSMUSG00000109659,E9Q838,Olfr605
345,ENSMUSG00000049573,Q8VEU0,Olfr780
346,ENSMUSG00000047286,E9Q848,Olfr370
347,ENSMUSG00000049561,Q8VFE2,Olfr95
348,ENSMUSG00000096109,P34983,Olfr1537
349,ENSMUSG00000096109,A0A1L1SSP9,Olfr1537
350,ENSMUSG00000071629,Q7TQQ7,Olfr1477
351,ENSMUSG00000062649,Q9EQB8,Olfr44
352,ENSMUSG00000062649,Q7TRB0,Olfr44
353,ENSMUSG00000048067,A0A140LI49,Olfr1349
354,ENSMUSG00000048067,Q7TQV1,Olfr1349
355,ENSMUSG00000048067,A0A140LIS9,Olfr1349
356,ENSMUSG00000054431,Q8VF81,Olfr450
357,ENSMUSG00000075068,Q60878,Olfr140
358,ENSMUSG00000045792,Q8VH17,Olfr578
359,ENSMUSG00000047207,Q8VEZ4,Olfr1495
360,ENSMUSG00000064252,M9MMK4,Olfr329
361,ENSMUSG00000064252,M9MMK5,Olfr329
362,ENSMUSG00000068437,Q05A45,Olfr725
363,ENSMUSG00000075214,Q8VFK2,Olfr1002
364,ENSMUSG00000059205,A0A1L1SQT2,Olfr1130
365,ENSMUSG00000061626,E9PYY2,Olfr68
366,ENSMUSG00000056921,Q8VGR5,Olfr394
367,ENSMUSG00000068809,A2AV10,Olfr1188
368,ENSMUSG00000068809,Q7TR15,Olfr1188
369,ENSMUSG00000073973,E9Q545,Olfr552
370,ENSMUSG00000054036,Q8VFD8,Olfr279
371,ENSMUSG00000070459,Q7TS13,Olfr290
372,ENSMUSG00000111021,Q8VGK5,Olfr50
373,ENSMUSG00000060170,Q7TQT7,Olfr1371
374,ENSMUSG00000075172,Q8VGA6,Olfr1090
375,ENSMUSG00000075069,Q9R0K2,Olfr1264
376,ENSMUSG00000056600,A0A140LHF9,Olfr90
